Front,Back,Week,Status,Frequency,PartOfSpeech
German for: the train station,der Bahnhof | plural: — | IPA: /ˈbaːnˌhoːf/ | Der Bahnhof ist sehr groß. | The train station is very big.,9,active,common,noun
German for: the post office,die Post | plural: — | IPA: /pɔst/ | Wo ist die Post? | Where is the post office?,9,active,common,noun
German for: the bank,die Bank | plural: — | IPA: /baŋk/ | Die Bank ist geschlossen. | The bank is closed.,9,active,common,noun
German for: the hospital,das Krankenhaus | plural: — | IPA: /ˈkʁaŋkənˌhaʊs/ | Er ist im Krankenhaus. | He is in the hospital.,9,active,common,noun
German for: the pharmacy,die Apotheke | plural: — | IPA: /apoˈteːkə/ | Die Apotheke ist in der Nähe. | The pharmacy is nearby.,9,active,common,noun
German for: the town hall,das Rathaus | plural: — | IPA: /ˈʁaːtˌhaʊs/ | Das Rathaus steht am Markt. | The town hall stands at the market.,9,active,common,noun
German for: the supermarket,der Supermarkt | plural: — | IPA: /ˈzuːpɐˌmaʁkt/ | Ich gehe in den Supermarkt. | I go to the supermarket.,9,active,common,noun
German for: the museum,das Museum | plural: — | IPA: /muˈzeːʊm/ | Das Museum ist interessant. | The museum is interesting.,9,active,common,noun
German for: straight ahead,geradeaus | plural: — | IPA: /ɡəˈʁaːdəˈaʊs/ | Gehen Sie immer geradeaus. | Go straight ahead.,9,active,common,phrase
German for: turn left,links abbiegen | plural: — | IPA: /lɪŋks ˈapˌbiːɡən/ | Biegen Sie links ab. | Turn left.,9,active,common,phrase
German for: turn right,rechts abbiegen | plural: — | IPA: /ʁɛçts ˈapˌbiːɡən/ | Biegen Sie an der Ampel rechts ab. | Turn right at the traffic lights.,9,active,common,phrase
German for: the junction / intersection,die Kreuzung | plural: — | IPA: /ˈkʁɔʏtsʊŋ/ | An der Kreuzung geradeaus. | Straight ahead at the junction.,9,active,common,noun
German for: the street / road,die Straße | plural: — | IPA: /ˈʃtʁaːsə/ | Nehmen Sie die erste Straße links. | Take the first street on the left.,9,active,common,noun
German for: the traffic lights,die Ampel | plural: — | IPA: /ˈampl̩/ | An der Ampel rechts. | Right at the traffic lights.,9,active,common,noun
German for: how far,wie weit | plural: — | IPA: /viː vaɪt/ | Wie weit ist es zum Bahnhof? | How far is it to the station?,9,active,common,phrase
German for: on foot / walking,zu Fuß | plural: — | IPA: /tsuː fuːs/ | Das ist 5 Minuten zu Fuß. | That is 5 minutes on foot.,9,active,common,phrase
German for: in the (in + dem),im | plural: — | IPA: /ɪm/ | Er ist im Supermarkt. | He is in the supermarket.,9,active,common,prep
German for: at/on the (an + dem),am | plural: — | IPA: /am/ | Das Rathaus ist am Markt. | The town hall is at the market.,9,active,common,prep
German for: at the / near (bei + dem),beim | plural: — | IPA: /baɪm/ | Ich bin beim Arzt. | I am at the doctor's.,9,active,common,prep
German for: from the (von + dem),vom | plural: — | IPA: /fɔm/ | Ich komme vom Bahnhof. | I am coming from the station.,9,active,common,prep
German for: to the (m/n: zu + dem),zum | plural: — | IPA: /tsʊm/ | Wie komme ich zum Bahnhof? | How do I get to the station?,9,active,common,prep
German for: to the (f: zu + der),zur | plural: — | IPA: /tsuːɐ̯/ | Wie komme ich zur Apotheke? | How do I get to the pharmacy?,9,active,common,prep
German for: opposite to,gegenüber von | plural: — | IPA: /ˈɡeːɡənˌyːbɐ fɔn/ | Die Bank ist gegenüber vom Bahnhof. | The bank is opposite the station.,9,active,common,prep
German for: in the vicinity / near to,in der Nähe von | plural: — | IPA: /ɪn dɛːɐ̯ ˈnɛːə fɔn/ | Die Post ist in der Nähe vom Markt. | The post office is near the market.,9,active,common,phrase
German for: the bus,der Bus | plural: — | IPA: /bʊs/ | Der Bus kommt um 8 Uhr. | The bus comes at 8 o'clock.,9,active,common,noun
German for: the underground / metro,die U-Bahn | plural: — | IPA: /ˈuːˌbaːn/ | Ich fahre mit der U-Bahn. | I go by metro.,9,active,common,noun
German for: suburban train,die S-Bahn | plural: — | IPA: /ˈɛsˌbaːn/ | Die S-Bahn ist schnell. | The suburban train is fast.,9,active,common,noun
German for: the train,der Zug | plural: — | IPA: /tsuːk/ | Der Zug nach München fährt ab. | The train to Munich leaves.,9,active,common,noun
German for: the ticket,das Ticket | plural: — | IPA: /ˈtɪkət/ | Ich kaufe ein Ticket. | I buy a ticket.,9,active,common,noun
German for: to board / get on,einsteigen | plural: — | IPA: /ˈaɪnˌʃtaɪɡən/ | Bitte alle einsteigen! | All aboard please!,9,active,common,verb
German for: to get off / alight,aussteigen | plural: — | IPA: /ˈaʊsˌʃtaɪɡən/ | Wir steigen am Hauptbahnhof aus. | We get off at the central station.,9,active,common,verb
