Front,Back,Week,Status,Frequency,PartOfSpeech
German for: arm (বাহু); include article and plural,Arm | plural: -e | IPA: dɛɾ ˈaɾm | Mein Arm tut weh. | My arm hurts. | বাংলা সহায়তা: “বাহু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: doctor (ডাক্তার); include article and plural,"Arzt | plural: -Ä, e | IPA: dɛɾ ˈaɾtst | Morgen habe ich einen Termin bei meiner Ärztin. | Tomorrow I have an appointment with my doctor. | বাংলা সহায়তা: “ডাক্তার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",7,active,very common,noun
German for: stomach (পেট); include article and plural,Bauch | plural: — | IPA: dɛɾ bˈaʊx | Seit gestern tut mir der Bauch weh. | My stomach has been hurting since yesterday. | বাংলা সহায়তা: “পেট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: leg (পা); include article and plural,Bein | plural: -e | IPA: das bˈaɪn | Mein rechtes Bein tut weh. | My right leg hurts. | বাংলা সহায়তা: “পা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: doctor (ডাক্তার); include article and plural,Doktor | plural: — | IPA: dɛɾ dˈɔktoːɾ | Meine Tochter ist krank. Wir gehen zum Doktor. | My daughter is sick. We are going to the doctor. | বাংলা সহায়তা: “ডাক্তার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: to help (সহায়ক তথ্য),"helfen | plural: — | IPA: hˈɛlfən | Können Sie mir helfen, bitte? | Can you help me, please? | বাংলা সহায়তা: “সহায়ক তথ্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",7,active,very common,verb
German for: help (সহায়ক তথ্য); include article and plural,Hilfe | plural: — | IPA: diː hˈɪlfə | Hilfe! Bitte helfen Sie mir! | Help! Please help me! | বাংলা সহায়তা: “সহায়ক তথ্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: help (সহায়ক তথ্য); include article and plural,Hilfe | plural: — | IPA: diː hˈɪlfə | Brauchen Sie meine Hilfe? | Do you need my help? | বাংলা সহায়তা: “সহায়ক তথ্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: head (মাথা); include article and plural,Kopf | plural: — | IPA: dɛɾ kˈɔpf | Mein Kopf tut weh! | My head hurts! | বাংলা সহায়তা: “মাথা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: ill (অসুস্থ),"krank | plural: — | IPA: kɾˈaŋk | Ich kann heute nicht zur Arbeit kommen, ich bin krank und liege im Bett. | I can’t come to work today, I’m ill in bed. | বাংলা সহায়তা: “অসুস্থ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",7,active,very common,adjective/adverb/other
German for: police (পুলিশ); include article and plural,Polizei | plural: — | IPA: diː pˌoːliːtsˈaɪ | Holen Sie die Polizei! | Fetch the police! | বাংলা সহায়তা: “পুলিশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
