Front,Back,Week,Status,Frequency,PartOfSpeech
German for: bird (পাখি); include article and plural,Vogel | plural: Vögel | IPA: dɛɾ fˈoːɡəl | Das ist der Vogel. | This is the bird. | এটি পাখি।,6,active,very common,noun
German for: friendly (বন্ধুসুলভ),freundlich | plural: — | IPA: frˈɔøntlɪç | Wir benutzen heute „freundlich“. | Today we use “friendly”. | আজ আমরা “বন্ধুসুলভ” অর্থটি ব্যবহার করি।,6,active,very common,adjective
German for: windy (বাতাসযুক্ত),windig | plural: — | IPA: vˈɪndɪç | Wir benutzen heute „windig“. | Today we use “windy”. | আজ আমরা “বাতাসযুক্ত” অর্থটি ব্যবহার করি।,6,active,very common,adjective
German for: cloudy (মেঘলা),bewölkt | plural: — | IPA: bəvˈœlkt | Wir benutzen heute „bewölkt“. | Today we use “cloudy”. | আজ আমরা “মেঘলা” অর্থটি ব্যবহার করি।,6,active,very common,adjective
German for: foggy (কুয়াশাচ্ছন্ন),neblig | plural: — | IPA: nˈeːblɪç | Wir benutzen heute „neblig“. | Today we use “foggy”. | আজ আমরা “কুয়াশাচ্ছন্ন” অর্থটি ব্যবহার করি।,6,active,very common,adjective
German for: dry (শুষ্ক),trocken | plural: — | IPA: tɾˈɔkən | Wir benutzen heute „trocken“. | Today we use “dry”. | আজ আমরা “শুষ্ক” অর্থটি ব্যবহার করি।,6,active,very common,adjective
German for: humid (আর্দ্র),feucht | plural: — | IPA: fˈɔøçt | Wir benutzen heute „feucht“. | Today we use “humid”. | আজ আমরা “আর্দ্র” অর্থটি ব্যবহার করি।,6,active,very common,adjective
German for: thunderstorm (বজ্রঝড়); include article and plural,Gewitter | plural: - | IPA: das ɡəvˈɪtɜ | Das ist das Gewitter. | This is the thunderstorm. | এটি বজ্রঝড়।,6,active,very common,noun
German for: lake (হ্রদ); include article and plural,See | plural: -n | IPA: dɛɾ zˈeː | Das ist der See. | This is the lake. | এটি হ্রদ।,6,active,very common,noun
German for: river (নদী); include article and plural,Fluss | plural: Flüsse | IPA: dɛɾ flˈʊs | Das ist der Fluss. | This is the river. | এটি নদী।,6,active,very common,noun
German for: mountain (পাহাড়); include article and plural,Berg | plural: -e | IPA: dɛɾ bˈɛɾk | Das ist der Berg. | This is the mountain. | এটি পাহাড়।,6,active,very common,noun
German for: forest (বন); include article and plural,Wald | plural: Wälder | IPA: dɛɾ vˈalt | Das ist der Wald. | This is the forest. | এটি বন।,6,active,very common,noun
German for: duck (হাঁস); include article and plural,Ente | plural: -n | IPA: diː ˈɛntə | Das ist die Ente. | This is the duck. | এটি হাঁস।,6,active,very common,noun
German for: horse (ঘোড়া); include article and plural,Pferd | plural: -e | IPA: das pfˈeːɾt | Das ist das Pferd. | This is the horse. | এটি ঘোড়া।,6,active,very common,noun
German for: sheep (ভেড়া); include article and plural,Schaf | plural: -e | IPA: das ʃˈɑːf | Das ist das Schaf. | This is the sheep. | এটি ভেড়া।,6,active,very common,noun
German for: helpful (সহায়ক),hilfsbereit | plural: — | IPA: hˈɪlfsbərˌaɪt | Wir benutzen heute „hilfsbereit“. | Today we use “helpful”. | আজ আমরা “সহায়ক” অর্থটি ব্যবহার করি।,6,active,very common,adjective
German for: sporty (খেলাধুলাপ্রিয়),sportlich | plural: — | IPA: ʃpˈɔɾtlɪç | Wir benutzen heute „sportlich“. | Today we use “sporty”. | আজ আমরা “খেলাধুলাপ্রিয়” অর্থটি ব্যবহার করি।,6,active,very common,adjective
German for: quiet (শান্ত),ruhig | plural: — | IPA: rˈuːɪç | Wir benutzen heute „ruhig“. | Today we use “quiet”. | আজ আমরা “শান্ত” অর্থটি ব্যবহার করি।,6,active,very common,adjective
German for: loud (জোরে),laut | plural: — | IPA: lˈaʊt | Wir benutzen heute „laut“. | Today we use “loud”. | আজ আমরা “জোরে” অর্থটি ব্যবহার করি।,6,active,very common,adjective
German for: comfortable (আরামদায়ক),bequem | plural: — | IPA: bəkvˈeːm | Wir benutzen heute „bequem“. | Today we use “comfortable”. | আজ আমরা “আরামদায়ক” অর্থটি ব্যবহার করি।,6,active,very common,adjective
German for: tree (গাছ); include article and plural,"Baum | plural: -ä, e | IPA: dɛɾ bˈaʊm | Vorsicht, fahr nicht an den Baum! | Careful, don’t drive into the tree! | বাংলা সহায়তা: “গাছ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",6,active,very common,noun
German for: good (ভাল),gut | plural: — | IPA: ɡˈuːt | Das finde ich gut. | I think that’s good. | বাংলা সহায়তা: “ভাল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: good (ভাল),gut | plural: — | IPA: ɡˈuːt | Ich komme um 13 Uhr. / Gut! | I will arrive at 1 pm. / Good! | বাংলা সহায়তা: “ভাল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: good (ভাল),gut | plural: — | IPA: ɡˈuːt | Guten Morgen! | Good morning! | সুপ্রভাত!,6,active,very common,adjective/adverb/other
German for: dog (কুকুর); include article and plural,Hund | plural: -e | IPA: dɛɾ hˈʊnt | Der Hund ist noch jung. | The dog is still young. | বাংলা সহায়তা: “কুকুর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,noun
German for: small (ক্ষুদ্র),klein | plural: — | IPA: klˈaɪn | Eltville ist eine kleine Stadt am Rhein. | Eltwille is a small town on the Rhine. | বাংলা সহায়তা: “ক্ষুদ্র” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: to rain (বৃষ্টি পড়া),regnen | plural: — | IPA: rˈɛɡnən | Heute regnet es. | Today it’s raining. | বাংলা সহায়তা: “বৃষ্টি পড়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,verb
German for: rain (বৃষ্টি পড়া); include article and plural,Regen | plural: — | IPA: dɛɾ rˈeːɡən | Bei diesem Regen gehe ich nicht raus. | I’m not going out in this rain. | বাংলা সহায়তা: “বৃষ্টি পড়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,noun
German for: bad (খারাপ),schlecht | plural: — | IPA: ʃlˈɛçt | Sie sehen schlecht aus. | You look bad. | বাংলা সহায়তা: “খারাপ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: bad (খারাপ),schlecht | plural: — | IPA: ʃlˈɛçt | Wir haben schlechtes Wetter. | We have bad weather. | বাংলা সহায়তা: “খারাপ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: beautiful (সুন্দর),schön | plural: — | IPA: ʃˈøːn | Das ist sehr schön. | That is very beautiful. | বাংলা সহায়তা: “সুন্দর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,adjective/adverb/other
German for: sun (সূর্য); include article and plural,Sonne | plural: — | IPA: diː zˈɔnə | Die Sonne scheint. | The sun is shining. | বাংলা সহায়তা: “সূর্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,noun
German for: weather (আবহাওয়া); include article and plural,Wetter | plural: — | IPA: das vˈɛtɜ | Wir hatten schlechtes Wetter. | We had bad weather. | বাংলা সহায়তা: “আবহাওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,noun
German for: wind (বায়ু); include article and plural,Wind | plural: — | IPA: dɛɾ vˈɪnt | Der Wind kommt aus Osten. | The wind is coming from the east. | বাংলা সহায়তা: “বায়ু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,noun
German for: bathroom (গোসলখানা); include article and plural,Bad | plural: — | IPA: das bˈɑːt | Wir haben kein großes Bad. | We don’t have a large bathroom. | বাংলা সহায়তা: “গোসলখানা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,active,very common,noun
