Front,Back,Week,Status,Frequency,PartOfSpeech
German for: the speaker,der Sprecher | plural: — | IPA: /ˈʃpʁɛçɐ/ | Der Sprecher redet langsam. | The speaker talks slowly.,12,active,common,noun
German for: the task / exercise,die Aufgabe | plural: — | IPA: /ˈaʊfˌɡaːbə/ | Lesen Sie die Aufgabe. | Read the task.,12,active,common,noun
German for: to tick / check box,"ankreuzen | plural: — | IPA: /ˈanˌkʁɔʏtsən/ | Kreuzen Sie a, b oder c an. | Tick a, b or c.",12,active,common,verb
German for: the form,das Formular | plural: — | IPA: /fɔʁmuˈlaːɐ/ | Füllen Sie das Formular aus. | Fill out the form.,12,active,common,noun
German for: the clue / hint,der Hinweis | plural: — | IPA: /ˈhɪnˌvaɪs/ | Achten Sie auf Schlüsselwörter. | Pay attention to keywords.,12,active,common,noun
German for: the number,die Nummer | plural: — | IPA: /ˈnʊmɐ/ | Hören Sie die Nummer 3. | Listen to number 3.,12,active,common,noun
German for: correct / right,richtig | plural: — | IPA: /ˈʁɪçtɪç/ | Ist die Aussage richtig? | Is the statement correct?,12,active,common,adj
German for: wrong / false,falsch | plural: — | IPA: /falʃ/ | Das ist falsch. | That is false.,12,active,common,adj
German for: the text,der Text | plural: — | IPA: /tɛkst/ | Lesen Sie den Text. | Read the text.,12,active,common,noun
German for: the heading / title,die Überschrift | plural: — | IPA: /ˈyːbɐˌʃʁɪft/ | Achten Sie auf die Überschrift. | Pay attention to the heading.,12,active,common,noun
German for: the sentence (pl: Sätze),der Satz | plural: — | IPA: /zats/ | Der Satz ist kurz. | The sentence is short.,12,active,common,noun
German for: to underline,unterstreichen | plural: — | IPA: /ˈʊntɐˌʃtʁaɪçən/ | Unterstreichen Sie wichtige Wörter. | Underline important words.,12,active,common,verb
German for: main idea,der Hauptgedanke | plural: — | IPA: /ˈhaʊptɡəˌdaŋkə/ | Was ist der Hauptgedanke? | What is the main idea?,12,active,common,noun
German for: the detail,das Detail | plural: — | IPA: /deˈtaɪ/ | Suchen Sie nach Details. | Search for details.,12,active,common,noun
