Front,Back,Week,Status,Frequency,PartOfSpeech
German for: on (উপর বা চালু),auf | plural: — | IPA: ˈaʊf | Die Kinder spielen auf der Straße. | The children play on the street. | বাংলা সহায়তা: “উপর বা চালু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: until (যতক্ষণ),auf | plural: — | IPA: ˈaʊf | Auf Wiedersehen. | goodbye (in person) | বাংলা সহায়তা: “যতক্ষণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: in (মধ্যে বা -এ),auf | plural: — | IPA: ˈaʊf | Wie heißt das auf Deutsch? | What’s that called in German? | বাংলা সহায়তা: “মধ্যে বা -এ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: from (থেকে),aus | plural: — | IPA: ˈaʊs | Er kommt aus Brasilien. | He comes from Brazil. | বাংলা সহায়তা: “থেকে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: next to (পাশে),bei | plural: — | IPA: bˈaɪ | Offenbach liegt bei Frankfurt. | Offenbach is next to Frankfurt. | বাংলা সহায়তা: “পাশে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: at (-এ বা কাছে),bei | plural: — | IPA: bˈaɪ | Ich wohne bei meinen Eltern. | I live at my parents’ place. | বাংলা সহায়তা: “-এ বা কাছে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: for (জন্য),bei | plural: — | IPA: bˈaɪ | Er arbeitet bei der Polizei. | He works for the police. | বাংলা সহায়তা: “জন্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: until (যতক্ষণ),bis | plural: — | IPA: bˈɪs | Ich warte bis morgen. | I will wait until tomorrow. | বাংলা সহায়তা: “যতক্ষণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: letter (চিঠি); include article and plural,Brief | plural: -e | IPA: dɛɾ bɾˈiːf | Haben Sie einen Brief für mich? | Do you have a letter for me? | বাংলা সহায়তা: “চিঠি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: letter (character) (বর্ণ বা অক্ষর); include article and plural,Buchstabe | plural: -n | IPA: dɛɾ bˈʊxstɑːbə | Diesen Buchstaben gibt es in meiner Sprache nicht. | We don't have this letter in my language. | বাংলা সহায়তা: “বর্ণ বা অক্ষর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,noun
German for: to spell (বানান),buchstabieren | plural: — | IPA: bˌʊxstabˈiːrən | Bitte buchstabieren Sie Ihren Namen. | Please spell your name. | বাংলা সহায়তা: “বানান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,verb
