Front,Back,Week,Status,Frequency,PartOfSpeech
German for: computer mouse (কম্পিউটার মাউস); include article and plural,Maus | plural: Mäuse | IPA: diː mˈaʊs | Das ist die Maus. | This is the computer mouse. | এটি কম্পিউটার মাউস।,2,active,very common,noun
German for: male student (ছাত্র); include article and plural,Student | plural: -en | IPA: dɛɾ ʃtuːdˈɛnt | Das ist der Student. | This is the male student. | এটি ছাত্র।,2,active,very common,noun
German for: female student (ছাত্রী); include article and plural,Studentin | plural: -nen | IPA: diː ʃtˈuːdəntˌɪn | Das ist die Studentin. | This is the female student. | এটি ছাত্রী।,2,active,very common,noun
German for: smartphone (স্মার্টফোন); include article and plural,Smartphone | plural: -s | IPA: das smaɾtfˈoːnə | Das ist das Smartphone. | This is the smartphone. | এটি স্মার্টফোন।,2,active,very common,noun
German for: laptop (ল্যাপটপ); include article and plural,Laptop | plural: -s | IPA: dɛɾ (en)lˈaptɒp(de) | Das ist der Laptop. | This is the laptop. | এটি ল্যাপটপ।,2,active,very common,noun
German for: keyboard (কীবোর্ড); include article and plural,Tastatur | plural: -en | IPA: diː tˈastatˌuːɾ | Das ist die Tastatur. | This is the keyboard. | এটি কীবোর্ড।,2,active,very common,noun
German for: screen (স্ক্রিন); include article and plural,Bildschirm | plural: -e | IPA: dɛɾ bˈɪltʃɪɾm | Das ist der Bildschirm. | This is the screen. | এটি স্ক্রিন।,2,active,very common,noun
German for: internet (ইন্টারনেট); include article and plural,das Internet | plural: - | IPA: das ˈɪntɜnˌɛt | Wir benutzen heute „das Internet“. | Today we use “internet”. | আজ আমরা “ইন্টারনেট” অর্থটি ব্যবহার করি।,2,active,very common,noun
German for: password (পাসওয়ার্ড); include article and plural,Passwort | plural: Passwörter | IPA: das pˈasvɔɾt | Das ist das Passwort. | This is the password. | এটি পাসওয়ার্ড।,2,active,very common,noun
German for: charger (চার্জার); include article and plural,Ladegerät | plural: -e | IPA: das lˈɑdeːɡərˌɛːt | Das ist das Ladegerät. | This is the charger. | এটি চার্জার।,2,active,very common,noun
German for: app (অ্যাপ); include article and plural,App | plural: -s | IPA: diː ˈap | Das ist die App. | This is the app. | এটি অ্যাপ।,2,active,very common,noun
German for: website (ওয়েবসাইট); include article and plural,Webseite | plural: -n | IPA: diː vˈɛbzaɪtə | Das ist die Webseite. | This is the website. | এটি ওয়েবসাইট।,2,active,very common,noun
German for: software developer (সফটওয়্যার ডেভেলপার); include article and plural,Softwareentwickler | plural: - | IPA: dɛɾ zˈɔftvarˌeːntvɪklɜ | Das ist der Softwareentwickler. | This is the software developer. | এটি সফটওয়্যার ডেভেলপার।,2,active,very common,noun
German for: female software developer (নারী সফটওয়্যার ডেভেলপার); include article and plural,Softwareentwicklerin | plural: -nen | IPA: diː zˈɔftvarˌeːntvɪklərˌɪn | Das ist die Softwareentwicklerin. | This is the female software developer. | এটি নারী সফটওয়্যার ডেভেলপার।,2,active,very common,noun
German for: home office (কাজের ঘর); include article and plural,Arbeitszimmer | plural: - | IPA: das ˈaɾbaɪtstsˌɪmɜ | Das ist das Arbeitszimmer. | This is the home office. | এটি কাজের ঘর।,2,active,very common,noun
German for: desk (লেখার টেবিল); include article and plural,Schreibtisch | plural: -e | IPA: dɛɾ ʃrˈaɪptɪʃ | Das ist der Schreibtisch. | This is the desk. | এটি লেখার টেবিল।,2,active,very common,noun
German for: wardrobe (কাপড়ের আলমারি); include article and plural,Kleiderschrank | plural: Kleiderschränke | IPA: dɛɾ klˈaɪdɜʃrˌaŋk | Das ist der Kleiderschrank. | This is the wardrobe. | এটি কাপড়ের আলমারি।,2,active,very common,noun
German for: shelf (তাক); include article and plural,Regal | plural: -e | IPA: das reːɡˈɑːl | Das ist das Regal. | This is the shelf. | এটি তাক।,2,active,very common,noun
German for: carpet (কার্পেট); include article and plural,Teppich | plural: -e | IPA: dɛɾ tˈɛpɪç | Das ist der Teppich. | This is the carpet. | এটি কার্পেট।,2,active,very common,noun
German for: male neighbour (পুরুষ প্রতিবেশী); include article and plural,Nachbar | plural: -n | IPA: dɛɾ nˈɑːxbɑːɾ | Das ist der Nachbar. | This is the male neighbour. | এটি পুরুষ প্রতিবেশী।,2,active,very common,noun
German for: female neighbour (নারী প্রতিবেশী); include article and plural,Nachbarin | plural: -nen | IPA: diː nˈaxbarˌɪn | Das ist die Nachbarin. | This is the female neighbour. | এটি নারী প্রতিবেশী।,2,active,very common,noun
German for: to work (কাজ),arbeiten | plural: — | IPA: ˈaɾbaɪtən | Wo arbeiten Sie? | Where do you work? | বাংলা সহায়তা: “কাজ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,verb
German for: work (কাজ); include article and plural,Arbeit | plural: -en | IPA: diː ˈaɾbaɪt | Mein Bruder sucht Arbeit. | My brother is looking for work. | বাংলা সহায়তা: “কাজ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: profession (পেশা); include article and plural,Beruf | plural: -e | IPA: dɛɾ bərˈuːf | Was sind Sie von Beruf? | What is your profession? | বাংলা সহায়তা: “পেশা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: bed (বিছানা); include article and plural,Bett | plural: -en | IPA: das bˈɛt | Wir brauchen noch ein Kinderbett. | We need another children’s bed. | বাংলা সহায়তা: “বিছানা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: brother (ভাই); include article and plural,Bruder | plural: -ü | IPA: dɛɾ bɾˈuːdɜ | Sein Bruder arbeitet auch hier. | His brother also works here. | বাংলা সহায়তা: “ভাই” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
