Front,Back,Week,Status,Frequency,PartOfSpeech
German for: car (গাড়ি); include article and plural,Auto | plural: -s | IPA: das ˈaʊtoː | Er kommt mit dem Auto. | He’s coming by car. | বাংলা সহায়তা: “গাড়ি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: train (ট্রেন); include article and plural,Bahn | plural: — | IPA: diː bˈɑːn | Wir fahren lieber mit der Bahn. | We prefer to travel by train. | বাংলা সহায়তা: “ট্রেন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: train (ট্রেন); include article and plural,Bahn | plural: — | IPA: diː bˈɑːn | Ich nehme die nächste Bahn. | I’ll take the next train. | বাংলা সহায়তা: “ট্রেন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: train station (রেলস্টেশন); include article and plural,Bahnhof | plural: — | IPA: dɛɾ bˈɑːnhoːf | Komme ich hier zum Bahnhof? | Is this the way to the train station? | বাংলা সহায়তা: “রেলস্টেশন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: platform (প্ল্যাটফর্ম); include article and plural,Bahnsteig | plural: — | IPA: dɛɾ bˈɑːnstaɪk | Auf welchem Bahnsteig fährt der Zug? | From which platform does the train depart? | বাংলা সহায়তা: “প্ল্যাটফর্ম” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: bus (বাস); include article and plural,Bus | plural: -se | IPA: dɛɾ bˈʊs | Wann kommt der nächste Bus? | When does the next bus arrive? | বাংলা সহায়তা: “বাস” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
"German for: there (to that place, in that direction) (সেখানে)",dorthin | plural: — | IPA: dˈɔɾthˌɪn | Deine Tasche kannst du dorthin stellen. | You can put your bag there. | বাংলা সহায়তা: “সেখানে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: a single (ticket) (একবারের টিকিট),"einfach | plural: — | IPA: ˈaɪnfˌax | Hin und zurück? / Nein, bitte nur einfach. | Return? / No, just a single, please. | বাংলা সহায়তা: “একবারের টিকিট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,active,very common,noun/phrase
German for: to travel (ভ্রমণ),fahren | plural: — | IPA: fˈɑːrən | Ich fahre mit dem Auto zur Arbeit. | I go to work by car. | বাংলা সহায়তা: “ভ্রমণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,verb
German for: (transport) ticket (টিকিট); include article and plural,Fahrkarte | plural: -n | IPA: diː fˈɑːɾkaɾtə | Hast du schon eine Fahrkarte? | Do you already have a ticket? | বাংলা সহায়তা: “টিকিট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: bicycle (সাইকেল); include article and plural,"Fahrrad | plural: -ä, er | IPA: das fˈɑːrɑːt | Fährst du mit dem Fahrrad oder mit dem Auto? | Do you travel by bike or by car? | বাংলা সহায়তা: “সাইকেল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,active,very common,noun
German for: airport (বিমানবন্দর); include article and plural,Flughafen | plural: — | IPA: dɛɾ flˈuːɡhɑːfən | Kannst du mich zum Flughafen bringen? | Can you take me to the airport? | বাংলা সহায়তা: “বিমানবন্দর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: straight on (সোজা সামনে),geradeaus | plural: — | IPA: ɡərˈɑdeːˌaʊs | Gehen Sie immer geradeaus! | Keep going straight on! | বাংলা সহায়তা: “সোজা সামনে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,adjective/adverb/other
German for: platform (প্ল্যাটফর্ম); include article and plural,Gleis | plural: -e | IPA: das ɡlˈaɪs | Der ICE nach Berlin hält heute an Gleis 12. | The ICE to Berlin is stopping on platform 12 today. | বাংলা সহায়তা: “প্ল্যাটফর্ম” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: hotel (হোটেল); include article and plural,Hotel | plural: -s | IPA: das hˈoːtəl | Im Urlaub sind wir in einem Hotel am Meer. | On holiday we are in a hotel by the sea. | বাংলা সহায়তা: “হোটেল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
