Front,Back,Week,Status,Frequency,PartOfSpeech
German for: weekend (সাপ্তাহিক ছুটি); include article and plural,Wochenende | plural: -n | IPA: das vˈɔxənəndə | Das ist das Wochenende. | This is the weekend. | এটি সাপ্তাহিক ছুটি।,3,active,very common,noun
German for: calendar (ক্যালেন্ডার); include article and plural,Kalender | plural: - | IPA: dɛɾ kˈɑːləndɜ | Das ist der Kalender. | This is the calendar. | এটি ক্যালেন্ডার।,3,active,very common,noun
German for: to jog (জগিং করা),joggen | plural: — | IPA: jˈɔɡən | Wir üben heute das Verb „joggen“. | Today we practise the verb “to jog”. | আজ আমরা “জগিং করা” অর্থের ক্রিয়াটি অনুশীলন করি।,3,active,very common,verb
German for: to photograph (ছবি তোলা),fotografieren | plural: — | IPA: fˌoːtoːɡɾafˈiːrən | Wir üben heute das Verb „fotografieren“. | Today we practise the verb “to photograph”. | আজ আমরা “ছবি তোলা” অর্থের ক্রিয়াটি অনুশীলন করি।,3,active,very common,verb
German for: to program (প্রোগ্রাম করা),programmieren | plural: — | IPA: pɾoːɡɾamˈiːrən | Wir üben heute das Verb „programmieren“. | Today we practise the verb “to program”. | আজ আমরা “প্রোগ্রাম করা” অর্থের ক্রিয়াটি অনুশীলন করি।,3,active,very common,verb
German for: to hike (পাহাড়ে বা পথে হাঁটা),wandern | plural: — | IPA: vˈandɜn | Wir üben heute das Verb „wandern“. | Today we practise the verb “to hike”. | আজ আমরা “পাহাড়ে বা পথে হাঁটা” অর্থের ক্রিয়াটি অনুশীলন করি।,3,active,very common,verb
German for: to train (অনুশীলন করা),trainieren | plural: — | IPA: tɾɛnˈiːrən | Wir üben heute das Verb „trainieren“. | Today we practise the verb “to train”. | আজ আমরা “অনুশীলন করা” অর্থের ক্রিয়াটি অনুশীলন করি।,3,active,very common,verb
German for: alarm clock (অ্যালার্ম ঘড়ি); include article and plural,Wecker | plural: - | IPA: dɛɾ vˈɛkɜ | Das ist der Wecker. | This is the alarm clock. | এটি অ্যালার্ম ঘড়ি।,3,active,very common,noun
German for: lunch break (দুপুরের বিরতি); include article and plural,Mittagspause | plural: -n | IPA: diː mˈɪtakspˌaʊzə | Das ist die Mittagspause. | This is the lunch break. | এটি দুপুরের বিরতি।,3,active,very common,noun
German for: end of the workday (কাজ শেষে অবসর); include article and plural,Feierabend | plural: -e | IPA: dɛɾ fˈaɪeːrˌɑːbənt | Das ist der Feierabend. | This is the end of the workday. | এটি কাজ শেষে অবসর।,3,active,very common,noun
German for: gym (ব্যায়ামাগার); include article and plural,Fitnessstudio | plural: -s | IPA: das fˈɪtnɛsstˌuːdɪˌoː | Das ist das Fitnessstudio. | This is the gym. | এটি ব্যায়ামাগার।,3,active,very common,noun
German for: computer game (কম্পিউটার গেম); include article and plural,Computerspiel | plural: -e | IPA: das kɔmpjˈuːtɜʃpˌiːl | Das ist das Computerspiel. | This is the computer game. | এটি কম্পিউটার গেম।,3,active,very common,noun
German for: arrangement to meet (দেখা করার পরিকল্পনা); include article and plural,Verabredung | plural: -en | IPA: diː fɛɾˈapɾˌeːdʊŋ | Das ist die Verabredung. | This is the arrangement to meet. | এটি দেখা করার পরিকল্পনা।,3,active,very common,noun
German for: punctual (সময়নিষ্ঠ),pünktlich | plural: — | IPA: pˈʏŋktlɪç | Wir benutzen heute „pünktlich“. | Today we use “punctual”. | আজ আমরা “সময়নিষ্ঠ” অর্থটি ব্যবহার করি।,3,active,very common,adjective
German for: delayed (বিলম্বিত),verspätet | plural: — | IPA: fɛɾʃpˈɛːtət | Wir benutzen heute „verspätet“. | Today we use “delayed”. | আজ আমরা “বিলম্বিত” অর্থটি ব্যবহার করি।,3,active,very common,adjective
German for: half (অর্ধেক),halb | plural: — | IPA: hˈalp | Wir benutzen heute „halb“. | Today we use “half”. | আজ আমরা “অর্ধেক” অর্থটি ব্যবহার করি।,3,active,very common,adverb
German for: quarter (চতুর্থাংশ); include article and plural,Viertel | plural: — | IPA: fˈiːɾtəl | Wir benutzen heute „Viertel“. | Today we use “quarter”. | আজ আমরা “চতুর্থাংশ” অর্থটি ব্যবহার করি।,3,active,very common,noun
German for: end of work/home time (কাজ শেষের সময়); include article and plural,Feierabend | plural: — | IPA: dɛɾ fˈaɪeːrˌɑːbənt | Wir machen jetzt Feierabend. | We are calling it a day now. / We are finishing work for the day now. | বাংলা সহায়তা: “কাজ শেষের সময়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,noun
German for: free time (অবসর সময়); include article and plural,Freizeit | plural: — | IPA: diː frˈaɪtsaɪt | In meiner Freizeit spiele ich oft Fußball. | I often play football in my free time. | বাংলা সহায়তা: “অবসর সময়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,noun
German for: today (আজ),heute | plural: — | IPA: hˈɔøtə | Heute ist ein schöner Tag. | Today is a beautiful day. | বাংলা সহায়তা: “আজ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,adjective/adverb/other
German for: hobby (শখ); include article and plural,Hobby | plural: -s | IPA: das hˈɔbiː | Meine Hobbys sind Wandern und Schwimmen. | My hobbies are hiking and swimming. | বাংলা সহায়তা: “শখ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,noun
German for: cinema (সিনেমা); include article and plural,Kino | plural: -s | IPA: das kˈiːnoː | Wir sehen heute Abend im Kino einen schönen Film. | We’re watching a lovely film this evening. | বাংলা সহায়তা: “সিনেমা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,noun
