Front,Back,Week,Status,Frequency,PartOfSpeech
German for: to answer (উত্তর),antworten | plural: — | IPA: ˈantvɔɾtən | Er antwortet nicht. | He isn’t answering. | বাংলা সহায়তা: “উত্তর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,verb
German for: answer (উত্তর); include article and plural,Antwort | plural: -en | IPA: diː ˈantvɔɾt | Er gibt leider keine Antwort. | Unfortunately he isn't giving an answer. | বাংলা সহায়তা: “উত্তর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,noun
German for: task (কাজ); include article and plural,Aufgabe | plural: -n | IPA: diː ˈaʊfɡˌɑːbə | Das ist eine schwere Aufgabe. | That is a difficult task. | বাংলা সহায়তা: “কাজ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,noun
German for: example (উদাহরণ); include article and plural,Beispiel | plural: -e | IPA: das bˈaɪʃpiːl | Kannst du mir ein Beispiel sagen? | Can you give me an example? | বাংলা সহায়তা: “উদাহরণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,noun
German for: for example (উদাহরণস্বরূপ),"zum Beispiel/z. B. | plural: — | IPA: tsʊm bˈaɪʃpiːl tsˈɛt bˈeː | Viele meiner Verwandten, z. B. meine beiden Brüder, arbeiten auch hier. | Many of my relatives, for example, both of my brothers, also work here. | বাংলা সহায়তা: “উদাহরণস্বরূপ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",8,active,very common,adjective/adverb/other
German for: invitation (আমন্ত্রণ); include article and plural,Einladung | plural: — | IPA: diː ˈaɪnlˌɑdʊŋ | Danke für die Einladung! | Thank you for the invitation! | বাংলা সহায়তা: “আমন্ত্রণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,noun
German for: wrong / incorrect (ভূল),falsch | plural: — | IPA: fˈalʃ | Das ist falsch. | That is wrong. | বাংলা সহায়তা: “ভূল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: finished / ready / done (শেষ),fertig | plural: — | IPA: fˈɛɾtɪç | Bist du fertig? | Are you done? | বাংলা সহায়তা: “শেষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: finished / ready / done (শেষ),fertig | plural: — | IPA: fˈɛɾtɪç | Ist mein Auto schon fertig? | Is my car already finished? | বাংলা সহায়তা: “শেষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: question (প্রশ্ন); include article and plural,Frage | plural: -n | IPA: diː frˈɑːɡə | Ich habe eine Frage. | I have a question. | বাংলা সহায়তা: “প্রশ্ন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,noun
German for: to listen (শোন),hören | plural: — | IPA: hˈøːrən | Hör mal! Was ist das? | Listen! What is that? | বাংলা সহায়তা: “শোন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,verb
German for: to read (পড়া),lesen | plural: — | IPA: lˈeːzən | Ich lese ein Buch von García Márquez. | I’m reading a book by García Márquez. | বাংলা সহায়তা: “পড়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,verb
German for: examination (পরীক্ষা); include article and plural,Prüfung | plural: — | IPA: diː pɾˈyːfʊŋ | Die Prüfung ist am Montag um 8:00 Uhr. | The exam is on Monday at 8 am. | বাংলা সহায়তা: “পরীক্ষা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,noun
German for: correct (সঠিক),richtig | plural: — | IPA: rˈɪçtɪç | Habe ich das richtig verstanden? | Have I understood that correctly? | বাংলা সহায়তা: “সঠিক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: to write (লেখা),schreiben | plural: — | IPA: ʃrˈaɪbən | Er schreibt jeden Tag fünfzig E-Mails. | He writes fifty emails a day. | বাংলা সহায়তা: “লেখা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,verb
German for: to speak (কথা বলা),sprechen | plural: — | IPA: ʃpɾˈɛçən | Kann ich (mit) Herrn Klein sprechen? | Can I speak with Mr Klein? | বাংলা সহায়তা: “কথা বলা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,verb
German for: to understand (বোঝা),verstehen | plural: — | IPA: fɛɾʃtˈeːən | Können Sie mich verstehen? | Can you understand me? | বাংলা সহায়তা: “বোঝা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,verb
German for: to repeat (পুনরাবৃত্তি),"wiederholen | plural: — | IPA: viːdɜhˈoːlən | Können Sie das bitte wiederholen? | Can you repeat that, please? | বাংলা সহায়তা: “পুনরাবৃত্তি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",8,active,very common,verb
German for: when (যখন),wann | plural: — | IPA: vˈan | Wann sind Sie geboren? | When were you born? | বাংলা সহায়তা: “যখন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: to wait (অপেক্ষা করা),warten | plural: — | IPA: vˈaɾtən | Können Sie ein paar Minuten warten? | Can you wait a few minutes? | বাংলা সহায়তা: “অপেক্ষা করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,verb
German for: to wait (অপেক্ষা করা),warten | plural: — | IPA: vˈaɾtən | Auf wen warten Sie? | Who are you waiting for? | বাংলা সহায়তা: “অপেক্ষা করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,verb
German for: why (কেন),warum | plural: — | IPA: vɑːrˈʊm | Warum kommt er nicht? | Why isn’t he coming? | বাংলা সহায়তা: “কেন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: what (কি),was | plural: — | IPA: vˈas | Was ist das? | What is that? | বাংলা সহায়তা: “কি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: what (কি),was | plural: — | IPA: vˈas | Was möchten Sie? | What would you like? | বাংলা সহায়তা: “কি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: to wash (ধোওয়া),(sich) waschen | plural: — | IPA: vˈaʃən | Wo kann ich mir die Hände waschen? | Where can I wash my hands? | বাংলা সহায়তা: “ধোওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,verb
German for: to wash (ধোওয়া),(sich) waschen | plural: — | IPA: vˈaʃən | Ich muss morgen waschen. | I need to do laundry tomorrow. | বাংলা সহায়তা: “ধোওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,verb
German for: water (জল); include article and plural,"Wasser | plural: — | IPA: das vˈasɜ | Ein Glas Wasser, bitte. | A glass of water, please. | বাংলা সহায়তা: “জল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",8,active,very common,noun
German for: to hurt (বেদনা দেওয়া),weh tun | plural: — | IPA: vˈeː tˈuːn | Ich muss zum Arzt. Mein Bein tut weh. | I need to go to the doctor. My leg hurts. | বাংলা সহায়তা: “বেদনা দেওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,verb
German for: female (মহিলা),weiblich | plural: — | IPA: vˈaɪplɪç | Kreuzen Sie bitte an: „weiblich“ oder „männlich“. | Please tick “female” or “male”. | বাংলা সহায়তা: “মহিলা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: wine (মদ); include article and plural,"Wein | plural: — | IPA: dɛɾ vˈaɪn | Nein danke, ich möchte keinen Wein. | No thank you, I don’t want any wine. | বাংলা সহায়তা: “মদ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",8,active,very common,noun
German for: far (দূর),weit | plural: — | IPA: vˈaɪt | Zum Bahnhof ist es nicht weit. | It is not far to the station. | বাংলা সহায়তা: “দূর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: further (আরও),weiter | plural: — | IPA: vˈaɪtɜ | Der Bus fährt nicht weiter. | The bus doesn’t go any further. | বাংলা সহায়তা: “আরও” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: which (কোন),welch- | plural: — | IPA: vˈɛlç | Welches Buch möchtest du? | Which book would you like? | বাংলা সহায়তা: “কোন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: world (বিশ্ব); include article and plural,Welt | plural: — | IPA: diː vˈɛlt | Es gibt viele Probleme auf der Welt. | There are many problems in the world. | বাংলা সহায়তা: “বিশ্ব” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,noun
German for: little / not very much (ছোট),wenig | plural: — | IPA: vˈeːnɪç | Ich habe leider nur wenig verstanden. | Unfortunately I didn't understand very much. | বাংলা সহায়তা: “ছোট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: little (ছোট),wenig | plural: — | IPA: vˈeːnɪç | Er verdient wenig. | He earns little. | বাংলা সহায়তা: “ছোট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: who (কে),wer | plural: — | IPA: vˈeːɾ | Wer ist das? | Who is that? | বাংলা সহায়তা: “কে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: to become (হওয়া),werden | plural: — | IPA: vˈɛɾdən | Mein Sohn will Arzt werden. | My son wants to become a doctor. | বাংলা সহায়তা: “হওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,verb
German for: important (গুরুত্বপূর্ণ),wichtig | plural: — | IPA: vˈɪçtɪç | Dieses Formular ist sehr wichtig. | This form is very important. | বাংলা সহায়তা: “গুরুত্বপূর্ণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: what (কি),wie | plural: — | IPA: vˈiː | Wie heißt du? | What are you called? | বাংলা সহায়তা: “কি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: like (অনুরূপ),wie | plural: — | IPA: vˈiː | Er schreibt wie ein Kind. | He writes like a child. | বাংলা সহায়তা: “অনুরূপ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: as (যত),wie | plural: — | IPA: vˈiː | Meine Frau ist so groß wie ich. | My wife is as tall as me. | বাংলা সহায়তা: “যত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: how (কেমন),wie | plural: — | IPA: vˈiː | Wie soll ich das machen? | How should I do that? | বাংলা সহায়তা: “কেমন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
German for: how (কেমন),wie | plural: — | IPA: vˈiː | Wie groß ist die Wohnung? | How big is the flat? | বাংলা সহায়তা: “কেমন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,8,active,very common,adjective/adverb/other
