Front,Back,Week,Status,Frequency,PartOfSpeech
German for: apple (অ্যাপল); include article and plural,"Apfel | plural: -Ä | IPA: dɛɾ ˈapfəl | Ein Pfund Äpfel bitte. | One pound of apples, please. | বাংলা সহায়তা: “অ্যাপল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,active,very common,noun
German for: to order (ক্রম),"bestellen | plural: — | IPA: bəʃtˈɛlən | Wir möchten bestellen, bitte. | We would like to order, please. | বাংলা সহায়তা: “ক্রম” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,active,very common,verb
German for: to order (ক্রম),"bestellen | plural: — | IPA: bəʃtˈɛlən | Dieses Buch haben wir nicht – sollen wir es für Sie bestellen? | We don’t have this book, should we order it for you? | বাংলা সহায়তা: “ক্রম” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,active,very common,verb
German for: to pay (প্রদান করা),bezahlen | plural: — | IPA: bətsˈɑːlən | Wo muss ich bezahlen? | Where do I need to pay? | বাংলা সহায়তা: “প্রদান করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,verb
German for: bread (রুটি); include article and plural,"Brot | plural: -e | IPA: das bɾˈoːt | Haben Sie auch Weißbrot? | Do you have white bread, too? | বাংলা সহায়তা: “রুটি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,active,very common,noun
German for: bread roll (ছোট রুটি); include article and plural,Brot | plural: -e | IPA: das bɾˈoːt | Nimm noch ein paar Brote für die Fahrt mit. | Take another couple of bread rolls for the journey. | বাংলা সহায়তা: “ছোট রুটি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: bread roll (ছোট রুটি); include article and plural,Brötchen | plural: – | IPA: das bɾˈøːtçən | Möchtest du Brötchen zum Frühstück? | Would you like bread rolls for breakfast? | বাংলা সহায়তা: “ছোট রুটি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: to go shopping (কেনাকাটা করতে যাওয়া),einkaufen | plural: — | IPA: ˈaɪnkˌaʊfən | Ich muss noch für morgen einkaufen. | I still need to go shopping for tomorrow. | বাংলা সহায়তা: “কেনাকাটা করতে যাওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,verb
German for: food (খাদ্য); include article and plural,Essen | plural: — | IPA: das ˈɛsən | Das Essen ist heute sehr gut. | The food is very good today. | বাংলা সহায়তা: “খাদ্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: meat (মাংস); include article and plural,Fleisch | plural: — | IPA: das flˈaɪʃ | Fleisch mag ich nicht. | I don’t like meat. | বাংলা সহায়তা: “মাংস” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: vegetables (শাকসব্জী); include article and plural,Gemüse | plural: — | IPA: das ɡəmˈyːzə | Gemüse brauchen wir auch noch. | We also need vegetables. | বাংলা সহায়তা: “শাকসব্জী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: shop (দোকান); include article and plural,Geschäft | plural: -e | IPA: das ɡəʃˈɛft | Die Geschäfte schließen um 18.30 Uhr. | The shops close at 6:30 pm. | বাংলা সহায়তা: “দোকান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: drink (পানীয়); include article and plural,Getränk | plural: -e | IPA: das ɡətɾˈɛŋk | Mein Lieblingsgetränk ist Tomatensaft. | My favourite drink is tomato juice. | বাংলা সহায়তা: “পানীয়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: size (আকার); include article and plural,Größe | plural: — | IPA: diː ɡɾˈøːsə | Haben Sie das auch in Größe 40? | Do you also have that in size 40? | বাংলা সহায়তা: “আকার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: coffee (কফি); include article and plural,Kaffee | plural: — | IPA: dɛɾ kˈafeː | Zum Frühstück trinke ich immer Kaffee. | For breakfast I always drink coffee. | বাংলা সহায়তা: “কফি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: to buy (কেনা),kaufen | plural: — | IPA: kˈaʊfən | Tim kauft sich ein neues Auto. | Tim buys himself a new car. | বাংলা সহায়তা: “কেনা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,verb
German for: clothes (পোষাক সমূহ); include article and plural,"Kleidung | plural: — | IPA: diː klˈaɪdʊŋ | Wo finde ich Kleidung? / Jacken im ersten, Jeans im zweiten Stock. | Where can I find clothes? / Jackets on the first floor, jeans on the second. | বাংলা সহায়তা: “পোষাক সমূহ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,active,very common,noun
German for: shop (দোকান); include article and plural,Laden | plural: -ä | IPA: dɛɾ lˈɑːdən | Im Buchladen können Sie Bücher kaufen. | In the bookshop you can buy books. | বাংলা সহায়তা: “দোকান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: food (খাদ্য); include article and plural,Lebensmittel (pl.) | plural: — | IPA: diː lˈeːbənsmˌɪtəl | Lebensmittel bekommen Sie im Supermarkt. | You can get food from the supermarket. | বাংলা সহায়তা: “খাদ্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: to have (food/drink) (আছে),nehmen | plural: — | IPA: nˈeːmən | Heute gibt es Hähnchen. Das nehme ich. | There is chicken today. I’ll have that. | বাংলা সহায়তা: “আছে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,verb
German for: fruit (ফল); include article and plural,Obst | plural: — | IPA: das ˈoːpst | Im Sommer ist das Obst billig. | In summer fruit is cheap. | বাংলা সহায়তা: “ফল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
German for: price (দাম); include article and plural,Preis | plural: -e | IPA: dɛɾ pɾˈaɪs | Die Preise sind hoch. | The prices are high. | বাংলা সহায়তা: “দাম” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,active,very common,noun
